QUESTION	ANSWER	SOURCE	CATEGORY	
Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем_Какой результат?	1.  назначение и выплата пособия или отказ в назначении и выплате пособия 2. Уведомление об отказе в приеме документов выдается в МФЦ на бумажном носителе, подготовленном СПб РО ФСС РФ, с приложенными документами заявителя	< ID_Вопроса_в_БД: 122 > Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем		
Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем_Какой срок предоставления?	Территориальный орган ФСС назначает и выплачивает пособие в течение 10 календарных дней со дня поступления в территориальный орган ФСС по месту регистрации страхователя документов, (информации), указанных в пунктах 12 и 16 административного регламента, независимо от способа подачи заявления о предоставлении государственной услуги.	< ID_Вопроса_в_БД: 123 > Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Кто является заявителем? 	Зявителями являются граждане Российской Федерации, имеющие место жительства в Санкт-Петербурге (постоянную регистрацию в СПб), являющиеся инвалидами и нуждающиеся по медицинским показаниям в дополнительных технических средствах реабилитации.	< ID_Вопроса_в_БД: 124 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Как определяются сроки подачи заявления?	Очередное получение ДТСР инвалидом осуществляется в течение всего календарного года, соответствующего году окончания срока пользования ДТСР. Под календарным годом понимается период времени с 1 января по 31 декабря.	< ID_Вопроса_в_БД: 125 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какой срок действует направление?	Направление действует в течение четырех месяцев со дня издания распоряжения администрации района Санкт-Петербурга.	< ID_Вопроса_в_БД: 126 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какой документ удостоверяющий личность должен быть предоставлен?	"1. паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта (для гражданина, достигшего возраста 14 лет); 2. Свидетельство о рождении ребенка."	< ID_Вопроса_в_БД: 127 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какой документ подтверждает полномочия представителя?	"1. Документ, удостоверяющий личность представителя (законного представителя) инвалида:
- паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта;
- паспорт иностранного гражданина, вид на жительство - документ, выданный иностранному гражданину или лицу без гражданства в подтверждение их права на постоянное проживание в Российской Федерации в соответствии с Федеральным законом от 25.07.2002 № 115-ФЗ ""О правовом положении иностранных граждан в Российской Федерации"";
- удостоверение беженца - документ, выданный лицу, признанному беженцем в соответствии с Федеральным законом от 19.02.1993 № 4528-1 ""О беженцах"". И доверенность"	< ID_Вопроса_в_БД: 128 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какие требования к доверенности?	" Документ, оформленный в соответствии с действующим законодательством РФ, подтверждающий наличие у представителя права действовать от лица заявителя, и определяющий условия и границы реализации права представителя на получение государственной услуги, в том числе:
- Доверенность, удостоверенная нотариально либо удостоверенная в порядке, предусмотренном пунктом 2 статьи 185.1 Гражданского кодекса РФ.
- Доверенность в простой письменной форме
- Доверенность в простой письменной форме, выдаваемая законным представителем несовершеннолетнего (совершеннолетнего недееспособного) заявителя третьему лицу."	< ID_Вопроса_в_БД: 129 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какие документы предоставляет законный представитель? 	"Документ, подтверждающий право законного представителя выступать от имени заявителя:
- свидетельство о рождении
- решение органа опеки и попечительства об установлении опеки и попечительства
- акт органа исполнительной власти субъекта РФ о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для государственных организаций), акт учредителя о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для негосударственных организаций)
(в отношении граждан, находящихся под опекой или попечительством либо помещенных под надзор в образовательные организации, медицинские организации, организации, оказывающие социальные услуги, или иные организации, в том числе для детей-сирот и детей, оставшихся без попечения родителей)."	< ID_Вопроса_в_БД: 130 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какой документ подтверждает льготную категорию?	Справка об установлении инвалидности	< ID_Вопроса_в_БД: 131 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какой документ попределяет вид ДТСР?	Индивидуальная программа реабилитации или абилитации инвалида ИЛИ заключение медицинской организации, оказывающей первичную медико-санитарную помощь и входящей в перечень медицинских организаций, участвующих в реализации Территориальной программы государственных гарантий бесплатного оказания гражданам медицинской помощи в СПб	< ID_Вопроса_в_БД: 132 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_В случае отсутствия отметки в паспорте о регистрации, какой документ может её подтвердить?	Решение суда об установлении места жительства (при наличии).	< ID_Вопроса_в_БД: 133 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какие основания для отказа в приеме документов?	"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя."	< ID_Вопроса_в_БД: 134 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какие основания для отказа впредоставлении услуги?	"отсутствие у инвалида права на получение ДТСР;
представление заявителем неполных и(или) недостоверных сведений и документов, необходимых для получения ДТСР."	< ID_Вопроса_в_БД: 135 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какой результат предоставления услуги?	"1.Принятие решения о предоставлении ДТСР и выдача заявителю направления на получение ДТСР с указанием поставщиков ДТСР
2.Принятие решения об отказе в предоставлении ДТСР"	< ID_Вопроса_в_БД: 136 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации_Какой срок предоставления услуги?	Администрация района рассматривает заявление, представленные документы и принимает решение о предоставлении ДТСР в течение 10 рабочих дней со дня их подачи.	< ID_Вопроса_в_БД: 137 > Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации		
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Какие основания для получения?"	Заявителем является один из родителей ребенка, являющийся гражданином Российской Федерации, имеющим место жительства (постоянную регистрацию) в Санкт-Петербурге, в случае если ребенок (дети), в отношении которого подается заявление, являются гражданами Российской Федерации и имеющими место жительства (постоянную регистрацию) в Санкт-Петербурге.	"< ID_Вопроса_в_БД: 138 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Какие условия являются обязательными для получения?"	"1. ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей или оба родителя - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб.

2. Женщина родила в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года до 31 декабря 2019 года;
Женщина родила в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020.
(Калькулятор для определения возраста женщины на момент рождения первого ребенка)

3. Обращение последовало не позднее полутора лет со дня рождения ребенка."	"< ID_Вопроса_в_БД: 139 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Как оформлять услугу при рождении (усыновлении) нескольких детей?"	Единовременная компенсационная выплата назначается семье однократно на одного из детей, в том числе при рождении двух и более детей одновременно.	"< ID_Вопроса_в_БД: 140 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Какая сумма выплат?"	"Единовременная компенсационная выплата с 01.04.2022 - 60603 руб.; с 01.01.2023 - 65585 руб"	"< ID_Вопроса_в_БД: 141 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Кому не положено?"	"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации. Единовременная компенсационная выплата, не назначается в случае рождения мертвого ребенка, а также в случае смерти ребенка, наступившей до дня обращения за указанной единовременной компенсационной выплатой.
"	"< ID_Вопроса_в_БД: 142 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Какие документы удостоверяют личность?"	паспорт гражданина РФ или временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).	"< ID_Вопроса_в_БД: 143 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Какие документы предоставить при обращении представителя?"	1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность	"< ID_Вопроса_в_БД: 144 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Какие заявления брать у заявителя?"	Заявление о назначении выплаты	"< ID_Вопроса_в_БД: 145 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Какие дополнительно документы должен предоставить заявитель?"	1. Документы, подтверждающие наличие в семье детей, 2. Свидетельство об установлении отцовства, 3. Свидетельство о регистрации (расторжении) брака, 4. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей), 5. Свидетельство о смерти родителя (в случае смерти одного из родителей), 6. Определение (постановление) суда о признании лица безвестно отсутствующим (умершим) (в случае признания судом безвестно отсутствующим (умершим) одного из родителей),7. Согласие на обработку персональных данных лица, не являющегося заявителем, 8. Реквизиты счета	"< ID_Вопроса_в_БД: 146 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Какие основания для отказа в приеме документов?"	непредставление заявителем согласия на обработку персональных данных лица, не являющегося заявителем, в случае если для предоставления государственной услуги необходима обработка персональных данных лица, не являющегося заявителем.	"< ID_Вопроса_в_БД: 147 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Какие основания для отказа в предоставлении услуги?"	" отсутствие у заявителя права на получение единовременной компенсационной выплаты;
- представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."	"< ID_Вопроса_в_БД: 148 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Срок предоставления услуги?"	"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."	"< ID_Вопроса_в_БД: 149 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года_Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль»)?"	"На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"	"< ID_Вопроса_в_БД: 150 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года"	Рождение ребенка	
